role,optimizer_a,optimizer_b,delta_definition,config_hash_a,config_hash_b,lr_a,weight_decay_a,lr_b,weight_decay_b,checkpoint_role,definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,analysis_dtype,metric_name,artifact_key,formula_id,reporting_tier,direction,fit_split,query_split,transform,seed0_delta,seed1_delta,seed2_delta,mean_delta,sample_sd_delta_ddof1,formatted_delta
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,Accuracy,id/accuracy,ID-1,primary,up,,id_test,raw_logits,0.013699999999999934,0.01860000000000006,0.014499999999999957,0.015599999999999984,0.0026286878856190505,0.015600 ± 0.002629
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,NLL,id/nll_raw,ID-2,primary,down,,id_test,raw_logits,-0.2038998522179374,-0.2314581207632058,-0.21624367444901751,-0.2172005491433869,0.01380403014299902,-0.217201 ± 0.013804
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,ECE-M15,id/ece_raw_m15,ID-3,primary,down,,id_test,raw_logits,-0.016119193987825624,-0.020082682911970705,-0.016940619154150606,-0.017714165351315644,0.0020919109451208845,-0.017714 ± 0.002092
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,Misclass. AUROC,id/misclassification_auroc_msp_raw,ID-5,primary,up,,id_test,raw_logits,0.005849753141715652,0.0027728217475594397,0.008123503924817643,0.005582026271364245,0.0026853692852824296,0.005582 ± 0.002685
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,AUGRC,id/augrc_msp_raw,ID-6,primary,down,,id_test,raw_logits,-0.0018159249999999951,-0.002243105000000005,-0.00204976999999999,-0.0020362666666666634,0.0002139098948350341,-0.002036 ± 0.000214
C1,sgd,adamw,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,61d7d1f20bc593cc2d106f24f0343084f56f811c8ebc63c856eaced34c50b65f,0.1,0.0005,0.003,0.1,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,Accuracy,id/accuracy,ID-1,primary,up,,id_test,raw_logits,0.0030999999999999917,0.0030999999999999917,-0.0013000000000000789,0.0016333333333333015,0.002540341184434394,0.001633 ± 0.002540
C1,sgd,adamw,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,61d7d1f20bc593cc2d106f24f0343084f56f811c8ebc63c856eaced34c50b65f,0.1,0.0005,0.003,0.1,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,NLL,id/nll_raw,ID-2,primary,down,,id_test,raw_logits,-0.09833578432516035,-0.10221843411894174,-0.10318669166875008,-0.1012469700376174,0.0025672226938854973,-0.101247 ± 0.002567
C1,sgd,adamw,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,61d7d1f20bc593cc2d106f24f0343084f56f811c8ebc63c856eaced34c50b65f,0.1,0.0005,0.003,0.1,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,ECE-M15,id/ece_raw_m15,ID-3,primary,down,,id_test,raw_logits,-0.007757241482302932,-0.006252587424848792,-0.003722429283975391,-0.005910752730375705,0.002039010933688761,-0.005911 ± 0.002039
C1,sgd,adamw,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,61d7d1f20bc593cc2d106f24f0343084f56f811c8ebc63c856eaced34c50b65f,0.1,0.0005,0.003,0.1,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,Misclass. AUROC,id/misclassification_auroc_msp_raw,ID-5,primary,up,,id_test,raw_logits,0.0031432863105269604,-0.0020854457826411377,0.01084697352112618,0.003968271349670667,0.006505560506076443,0.003968 ± 0.006506
C1,sgd,adamw,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,61d7d1f20bc593cc2d106f24f0343084f56f811c8ebc63c856eaced34c50b65f,0.1,0.0005,0.003,0.1,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,AUGRC,id/augrc_msp_raw,ID-6,primary,down,,id_test,raw_logits,-0.00046913500000000247,-0.00023108499999999503,-0.0003403249999999894,-0.00034684833333332895,0.00011915899476470201,-0.000347 ± 0.000119
C1,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,61d7d1f20bc593cc2d106f24f0343084f56f811c8ebc63c856eaced34c50b65f,0.0003,0.0,0.003,0.1,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,Accuracy,id/accuracy,ID-1,primary,up,,id_test,raw_logits,-0.010599999999999943,-0.01550000000000007,-0.015800000000000036,-0.013966666666666683,0.0029194748386197297,-0.013967 ± 0.002919
